IdHogar;IdPersona;IdViaje;Edad;NivelEducativo;Sexo;Barrio;Estrato;CantidadHogares;TotalPersonas;RangoIngresos;TotalVehiculos;Municipio;Aplicacion;ModoPrincipal;Localidad;TipoVehiculo;DesplazamientoOrigen;Coordenadas_origen;DesplazamientoDestino;Cluster
10090;10090-1;10090-1-1;39;MED-COM;Sin Dato;BOSA BRASILIA;2;1;7;$828.117 - $ 1.500.000;0;BOGOTA, D.C;SinDato;TransMilenio;\N;No tiene vehículo;\N;;\N;cluster_0
10090;10090-1;10090-1-2;39;MED-COM;Sin Dato;BOSA BRASILIA;2;1;7;$828.117 - $ 1.500.000;0;BOGOTA, D.C;SinDato;TransMilenio;\N;No tiene vehículo;\N;;\N;cluster_0
10110;10110-1;10110-1-1;65;PRI-COM;Mujer;SOL DE SAN CARLOS  SECTOR 2;2;1;6;$ 1.500.001 - $ 2.000.000;0;BOGOTA, D.C;Uber ;A pie;RAFAEL URIBE URIBE;No tiene vehículo;RAFAEL URIBE URIBE;4°34?47?N 74°07?03?O;SAN CRISTOBAL;cluster_0
10110;10110-1;10110-1-2;65;PRI-COM;Mujer;SOL DE SAN CARLOS  SECTOR 2;2;1;6;$ 1.500.001 - $ 2.000.000;0;BOGOTA, D.C;Uber ;A pie;SAN CRISTOBAL;No tiene vehículo;SAN CRISTOBAL;4°33?53?N 74°05?00?O;RAFAEL URIBE URIBE;cluster_0
10152;10152-1;10152-1-2;43;MED-COM;Hombre;SAN MATEO;0;1;6;$ 1.500.001 - $ 2.000.000;1;SOACHA;Uber ;Auto;UPR;Carro;SOACHA;4°34'45.7'' N 74°13'0.6'' O;SOACHA;cluster_0
10152;10152-1;10152-1-1;43;MED-COM;Hombre;SAN MATEO;0;1;6;$ 1.500.001 - $ 2.000.000;1;SOACHA;Uber ;Auto;UPR;Carro;SOACHA;4°34'45.7'' N 74°13'0.6'' O;SOACHA;cluster_0
10152;10152-1;10152-1-3;43;MED-COM;Hombre;SAN MATEO;0;1;6;$ 1.500.001 - $ 2.000.000;1;SOACHA;Uber ;Auto;UPR;Carro;SOACHA;4°34'45.7'' N 74°13'0.6'' O;SOACHA;cluster_0
10192;10192-1;10192-1-1;35;MED-COM;Sin Dato;PARQUE CAMPESTRE;0;1;7;$ 0 - $ 828.116;0;SOACHA;SinDato;Intermunicipal;\N;No tiene vehículo;\N;;\N;cluster_0
10192;10192-1;10192-1-2;35;MED-COM;Sin Dato;PARQUE CAMPESTRE;0;1;7;$ 0 - $ 828.116;0;SOACHA;SinDato;Intermunicipal;\N;No tiene vehículo;\N;;\N;cluster_0
10194;10194-1;10194-1-3;28;PRI-IN;Sin Dato;BUENOS AIRES;1;1;7;$ 0 - $ 828.116;1;SOACHA;SinDato;TransMilenio;\N;Moto;\N;;\N;cluster_0
